0 1684 4685
1 9447 6453
2 7644 1022
3 7256 3698
4 8166 2854
5 5135 7700
6 6070 2523
7 7475 570
8 1992 9024
9 1256 9003
10 4078 1016
11 1007 5098
12 7808 6604
13 630 8604
14 2226 5515
15 5917 3536
16 9464 187
17 13 3492
18 1539 4715
19 8617 6775
20 6596 8688
21 3687 2814
22 313 1248
23 1496 4781
24 6021 7296
25 5320 8103
26 9318 1206
27 1178 2700
28 5257 9804
29 1588 3482
30 6447 8694
31 2171 4385
32 9079 9072
33 7347 3622
34 6374 1323
35 8638 4340
36 2933 2563
37 6257 63
38 6727 3909
39 3255 6799
40 512 8511
41 4574 4531
42 4561 5197
43 4626 7668
44 9158 8008
45 4372 3299
46 4896 5326
47 2581 8257
48 3805 4895
49 5546 8812
50 6046 6269
51 7314 7453
52 4022 5938
53 7410 915
54 8684 7422
55 1921 3207
56 4140 8982
57 738 4122
58 9357 2977
59 6461 9459
60 1513 3343
61 3391 2291
62 1840 2909
63 7285 5694
64 4123 9392
65 4747 6585
66 5452 9123
67 1369 5463
68 7302 5668
69 9687 6366
70 8125 2493
71 1813 7008
72 2760 3724
73 6173 5856
74 8907 8278
75 6192 7969
76 6753 3048
77 9226 9934
78 2897 2422
79 3417 7969
80 4641 9084
81 1745 2519
82 2925 2014
83 7600 5646
84 8047 5203
85 2499 1329
86 7059 8831
87 914 2701
88 3776 4763
89 8826 3739
90 3086 7748
91 2586 8803
92 3448 3194
93 8520 9768
94 6258 9148
95 6099 1642
96 8968 3226
97 6973 7910
98 4757 4590
99 5416 8379
100 3763 4137
101 5785 2348
102 1532 3887
103 7678 5543
104 5479 8872
105 6069 3858
106 3271 9155
107 6371 8034
108 4130 1062
109 7431 7008
110 5563 340
111 9603 205
112 1394 5551
113 7350 6330
114 5655 439
115 6545 9250
116 856 2233
117 1599 1592
118 5432 2466
119 8510 2373
120 9725 6768
121 2642 7050
122 9274 3321
123 8743 7246
124 5786 5851
125 2070 8568
126 8210 7385
127 8456 7500
128 1695 8868
129 7817 9512
130 3565 5135
131 8234 9427
132 3465 9654
133 3016 6612
134 9977 8283
135 2512 1461
136 6124 9918
137 3512 8492
138 1263 9230
139 5184 6102
140 744 4814
141 7003 2241
142 1358 368
143 2273 4535
144 3414 1659
145 8537 3448
146 3701 2551
147 9387 7548
148 2359 8279
149 6510 1901
150 4834 2858
151 6435 7038
152 8528 6582
153 1171 1871
154 120 493
155 4275 6774
156 4932 6850
157 9769 280
158 9367 2840
159 5966 5303
160 9502 4239
161 2666 9072
162 3179 6530
163 3968 1805
164 9378 1428
165 6069 5181
166 1231 3723
167 1298 7632
168 902 2189
169 1073 9964
170 8597 5222
171 5567 8195
172 2673 845
173 6065 6797
174 645 9664
175 7346 3892
176 3905 2164
177 8452 2080
178 5487 4620
179 1523 4350
180 3329 308
181 396 7125
182 4962 7772
183 9468 8651
184 8532 6776
185 6298 7130
186 4301 6680
187 5409 592
188 7444 8120
189 9395 676
190 6273 6161
191 6961 6433
192 6289 3971
193 755 6189
194 9586 3999
195 7816 7611
196 9640 592
197 4200 5467
198 4184 6890
199 4095 8097
200 2090 1759
201 9064 7833
202 2094 7132
203 182 8953
204 5933 3169
205 2856 6456
206 2761 9679
207 6961 5694
208 6196 6251
209 1328 8993
210 8299 737
211 7317 6602
212 7556 9752
213 7522 1391
214 6193 2097
215 9776 7825
216 2478 3324
217 5347 6946
218 8113 6387
219 2202 5620
220 9860 8051
221 3666 4652
222 4315 2904
223 7048 1654
224 899 6755
225 8048 9449
226 5482 3428
227 3300 6907
228 6979 5439
229 3626 2677
230 5968 448
231 1693 2946
